"Date","IXBK","NBI","IXK","IXF","IXID","IXIS","IXUT","IXTR","FVX","TYX"
2021-03-01,4432,5016.9,9340.53,5769.7,10763.5,10643.6,478.8,6073.1,0.698,2.199
2021-02-26,4289,4936.8,9039.78,5625,10454.9,10357,466,5958.8,0.73,2.154
2021-02-25,4374.9,4937.9,8953.13,5684,10397.2,10471.2,464.6,6001.5,0.82,2.298
2021-02-24,4478,5069.5,9319.59,5797.1,10796,10700.3,471.2,6108.8,0.602,2.225
2021-02-23,4352.8,5025.8,9223.35,5722.1,10705.8,10604.6,469.5,5974,0.57,2.179
2021-02-22,4319.2,5098.7,9254.62,5716.6,10751.2,10647.4,468.1,6058.1,0.6,2.179
2021-02-19,4238.6,5224.6,9526.14,5708.8,11029.8,10564.2,473.5,6020.4,0.577,2.135
2021-02-18,4125.2,5170.8,9512.15,5624.1,11089.6,10451.8,478,5893.7,0.554,2.085
2021-02-17,4170.2,5268.2,9578.61,5663.9,11133.4,10568.3,480.2,5916.9,0.554,2.045
2021-02-16,4178.7,5246.2,9677.05,5665.2,11138.1,10513.4,481.6,5952,0.572,2.088
2021-02-12,4106.4,5361.6,9689.72,5635.2,11190.6,10559.5,484.2,5955.4,0.493,2.011
2021-02-11,4081.5,5335.2,9645.52,5616.4,11121.9,10579.2,485.2,5896.2,0.464,1.954
2021-02-10,4103,5348.3,9556.03,5627.9,11131.9,10505,483.1,5920.9,0.451,1.91
2021-02-09,4110.1,5393.7,9545.63,5646.6,11213.9,10533.9,486.4,5949.2,0.475,1.952
2021-02-08,4057.6,5427.1,9536.72,5602.9,11219.8,10435,484,5883.9,0.482,1.96
2021-02-05,3972.4,5315,9457.18,5553.4,11146.4,10301.3,478.8,5821.6,0.466,1.977
2021-02-04,3974.9,5227.6,9428.18,5537.9,11060.2,10103.4,480.6,5798.1,0.458,1.932
2021-02-03,3856.5,5152.9,9334.74,5443.1,10917.2,9924.6,471.6,5722.8,0.464,1.927
2021-02-02,3844.8,5170.2,9292.17,5454.3,10984.5,9991.9,474.6,5670.4,0.438,1.867
2021-02-01,3767.4,5115.8,9171.93,5361.1,10781.8,9828.2,466.7,5587.4,0.424,1.853
2021-01-29,3695.1,5056.8,8929.12,5232.9,10483.9,9642.3,460.2,5506.4,0.426,1.835
2021-01-28,3789.8,5041.1,9143.21,5331,10698,9933.6,475.7,5635.2,0.432,1.814
2021-01-27,3743.7,5023.3,9115.1,5262.3,10674.4,9861.3,461.2,5615.6,0.41,1.771
2021-01-26,3873.1,5178.3,9340.67,5392.5,10972.8,10066.1,475.1,5755.8,0.409,1.79
2021-01-25,3915.5,5272.8,9335.66,5409.7,10949.3,10142.5,473.3,5747.2,0.405,1.796
2021-01-22,3948.7,5183.3,9249.73,5401.1,10913.2,10102.9,470.1,5750.2,0.433,1.847
2021-01-21,3874.3,5136.3,9234.41,5395.1,10921.4,10180,472.2,5825.9,0.447,1.873
2021-01-20,3943,5190.7,9107.25,5466,10903.1,10315.4,472.9,5828.9,0.441,1.825
2021-01-19,3970.2,5178,8889.05,5456.8,10663.6,10293.8,469.7,5781,0.447,1.839
